0,1,2,3
73,"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",Arginase-1,7.97
74,5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,"Glucan 1,4-alpha-maltotetraohydrolase",7.95
75,bis(5-amidino-benzimidazolyl)methanone zinc,ABC transporter ATP-binding protein,7.93
76,Buformin,Geranylgeranyl transferase type-1 subunit beta,7.93
77,Becocalcidiol,Galactokinase,7.92
78,"(3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYRROLIZIN-4-YL)BENZAMIDINE",DNA oxidative demethylase ALKBH2,7.92
79,2-Acetyl-Protoporphyrin Ix,fMet-Leu-Phe receptor,7.91
80,Creatinine,Mitogen-activated protein kinase kinase kinase kinase 5,7.91
81,"1,3-Bis((1-methylethyl)amino)propan-2-ol",Adenosine receptor A1,7.91
82,"1,3,3-trimethyl-2-[(1E,3E)-3-methylpenta-1,3-dien-1-yl]cyclohexene",Pro-neuropeptide Y,7.91
83,2-Formyl-Protoporphryn Ix,5-hydroxytryptamine receptor 3B,7.90
84,"4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE",Adenylate kinase,7.90
85,Aconitate Ion,Candidapepsin-2,7.90
86,1alpha-Hydroxyvitamin D5,Alpha-2B adrenergic receptor,7.90
87,7-Aminodesacetoxycephalosporanic acid,Beta-lactamase TEM,7.90
88,7-Nitroindazole-2-Carboxamidine,"Cytochrome c oxidase subunit 8A, mitochondrial",7.90
89,Beta-Hydroxyleucine,Death-associated protein kinase 3,7.89
90,Decamethoxine,Replicase polyprotein 1ab,7.88
91,"(1R,2S)-2-Phenylcyclopropanaminium","Phytanoyl-CoA dioxygenase, peroxisomal",7.88
92,Dactinomycin,Apoptosis regulator BAX,7.88
93,Carmegliptin,Uteroglobin,7.87
94,Basifungin,DNA mismatch repair protein MutL,7.87
95,"4-Acetyl-4-guanidino-6-methyl(propyl)carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid",Signal peptidase I,7.87
96,Azapropazone,Membrane protein involved in aromatic hydrocarbon degradation,7.87
97,Cyclosporine,Beta-lactamase,7.86
98,(3r)-1-Acetyl-3-Methylpiperidine,Extracellular calcium-sensing receptor,7.86
99,"2,4-DINITROPHENYL 2-DEOXY-2-FLUORO-BETA-D-MANNOPYRANOSIDE",Apolipoprotein(a),7.86
100,"2,4-deoxy-4-guanidino-5-N-acetyl-neuraminic acid",Serpin B9,7.85
101,"7,9-Dimethylguanine",Class B acid phosphatase,7.85
102,Cyclo(prolylglycyl),Serine/threonine-protein kinase PRP4 homolog,7.85
103,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",7.84
104,2-Aminoprop-2-Enamide,G-protein coupled estrogen receptor 1,7.84
105,AEOL-10150,Dihydrolipoyl dehydrogenase,7.84
106,Ceftolozane,Placenta growth factor,7.83
107,"(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE",Follicle-stimulating hormone receptor,7.83
108,"3,7,11,15-tetramethyl-hexadecan-1-ol",50S ribosomal protein L22,7.83
109,7beta-hydroxycholesterol,Cell division control protein 42 homolog,7.83
110,"2,3-Dimethylimidazolium Ion",Cyclin-dependent kinases regulatory subunit 1,7.82
111,Amantadine,Aspartate carbamoyltransferase catalytic chain,7.82
112,"3-Chloro-9-Ethyl-6,7,8,9,10,11-Hexahydro-7,11-Methanocycloocta[B]Quinolin-12-Amine",Immunoglobulin lambda variable 3-21,7.82
113,"(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",Phospholipase D2,7.82
114,"3,5-Dinitrocatechol",Transcription factor p65,7.81
115,"1-(1,4-dimethyl-1,2,3,4-tetrahydroquinoxalin-6-yl)methanamine",Activin receptor type-1,7.81
116,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",Cytidylate kinase,7.80
117,Cinitapride,Glyceraldehyde-3-phosphate dehydrogenase,7.80
118,Calcipotriol,Lantibiotic nisin-Z,7.80
119,5-AMINO-6-CYCLOHEXYL-4-HYDROXY-2-ISOPROPYL-HEXANOIC ACID,Trypanothione reductase,7.80
120,"(3S)-3-hydroxy-1-methyl-2,3-dihydro-1H-indole-5,6-dione",Bile acid receptor,7.79
121,D-arginine,Nuclear factor NF-kappa-B p100 subunit,7.79
122,Brexanolone,Mitogen-activated protein kinase kinase kinase 2,7.79
123,Chlorophyll A,Reverse transcriptase,7.79
124,Adriforant,"Benzoate 1,2-dioxygenase electron transfer component",7.79
125,1-hydroxy-2-isopropylguanidine,Minor histocompatibility antigen H13,7.78
126,"2-[1-(4-CHLORO-PHENYL)-ETHYL]-4,6-DINITRO-PHENOL",Urokinase-type plasminogen activator,7.78
127,"(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE",5'-AMP-activated protein kinase subunit beta-1,7.78
128,Alfacalcidol,Serine/threonine-protein kinase Sgk1,7.78
129,ABT-510,Meso-diaminopimelate D-dehydrogenase,7.78
130,"3',5'-Dinitro-N-Acetyl-L-Thyronine",50S ribosomal protein L4,7.77
131,Anhydrovitamin A,Lipid binding protein,7.77
132,Aminoethyl nitrate,Glutamate decarboxylase alpha,7.77
133,Avasimibe,cGMP-gated cation channel alpha-1,7.77
134,Brasofensine,Prolyl endopeptidase FAP,7.77
135,4-Hydroxy-Aconitate Ion,Response regulator PleD,7.77
136,Brivaracetam,COUP transcription factor 1,7.77
137,"2,3-di-O-phytanyl-sn-glycerol",5-hydroxytryptamine receptor 2A,7.77
138,"(2S,3S)-4-cyclopropyl-3-{(3R,5R)-3-[2-fluoro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazolidin-5-yl}-1-[(3S)-3-fluoropyrrolidin-1-yl]-1-oxobutan-2-amine",Acetyl-CoA carboxylase 2,7.76
139,2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,Retinoic acid receptor responder protein 1,7.76
140,ABT-341,Uridine 5'-monophosphate synthase,7.75
141,Danofloxacin,Histone deacetylase 10,7.75
142,"2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-methylbenzonitrile",Matrix metalloproteinase-26,7.75
143,Biliverdine IX Alpha,B2 bradykinin receptor,7.74
144,Choline C 11,Grancalcin,7.74
145,19-Nor-5-androstenediol,D(1A) dopamine receptor,7.74
146,Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone,Serine/threonine-protein kinase Chk2,7.74
147,Copper usnate,Tyrosine-protein kinase receptor UFO,7.74
148,Cholesterol,Protein S100-A6,7.74
149,Brilliant green cation,Potassium voltage-gated channel subfamily C member 1,7.74
150,Bolandiol,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,7.73
151,Carboquone,DNA-directed RNA polymerase subunit alpha,7.73
152,CEP-9722,Interleukin-17A,7.73
153,Cefradine,Calcium-activated potassium channel subunit alpha-1,7.73
154,(E)-(S)-4-[(S)-4-METHYL-2-((S)-3-METHYL-2{(S)-2-[(5-METHYL-ISOXAZOLE-3- CARBONYL)-AMINO]-PROPIONYLAMINO}-BUTYRYLAMINO)-PENTANOYLAMINO]-5-((S)-2- OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER,"Tryptophan--tRNA ligase, mitochondrial",7.73
155,Benzamidine,Respiratory nitrate reductase 1 beta chain,7.73
156,Branebrutinib,Lipoprotein lipase,7.73
157,[(1S)-4-(1-Aminobutylideneamino)-1-carboxybutyl]azanium,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,7.73
158,Alvespimycin,UDP-galactose 4-epimerase,7.72
159,Betaine,Non-receptor tyrosine-protein kinase TYK2,7.72
160,5-N-Allyl-arginine,Alpha-amylase 1,7.72
161,Agmatine,"dTDP-glucose 4,6-dehydratase",7.72
162,5-Bromo-N[2-(Dimethylamino)Ethyl]-9-Aminoacridine-4-Carboxamide,Neuraminidase,7.72
163,"(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE","Propionyl-CoA carboxylase beta chain, mitochondrial",7.72
164,Biliverdin Ix Gamma Chromophore,N-terminal kinase-like protein,7.72
165,"2-[3-(5-Mercapto-[1,3,4]thiadiazol-2yl)-ureido]-N-methyl-3-pentafluorophenyl-propionamide",Catalase-peroxidase,7.71
166,Clonazolam,"Heat shock protein 110, putative",7.71
167,19-norandrostenedione,D(3) dopamine receptor,7.71
168,"3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On",Receptor activity-modifying protein 3,7.71
169,Cannabidivarin,30S ribosomal protein S20,7.71
170,Cobamamide,Cytochrome P450 2E1,7.71
171,"(2S)-2-[(3aR,4R,7S,7aS)-1,3-dioxooctahydro-2H-4,7-methanoisoindol-2-yl]propanoic acid",Alanine aminotransferase 2,7.70
172,Carbazochrome,Genome polyprotein,7.70
173,Acetate,Ornithine carbamoyltransferase chain I,7.70
174,Casopitant,Proteasome subunit alpha type-5,7.70
175,"(3R)-4-[(3R)-3-AMINO-4-(2,4,5-TRIFLUOROPHENYL)BUTANOYL]-3-METHYL-1,4-DIAZEPAN-2-ONE","Argininosuccinate synthetase, isoform CRA_a",7.70
176,Apronalide,mRNA-capping enzyme,7.69
177,1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE,Penicillin-binding protein 1A,7.69
178,Biotinyl P-Nitroaniline,Integrin beta-7,7.68
179,6-amino-1-methyl-7H-purin-1-ium,Rhomboid protease GlpG,7.68
180,BMS-911543,Growth/differentiation factor 8,7.68
181,Aluminum acetate,Deoxyuridine triphosphatase,7.68
182,6-Methylamino-5-Nitroisocytosine,Histone deacetylase 3,7.68
183,Bafilomycin A1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,7.68
184,Chlordiazepoxide,Tachykinin-3,7.68
185,CRA_1802,Mitogen-activated protein kinase kinase kinase 15,7.68
186,(1R)-menthyl hexyl phosphonate group,Interleukin-3 receptor subunit alpha,7.67
187,4R-Fluoro-N6-ethanimidoyl-L-lysine,Dihydrofolate reductase,7.67
188,Cefetamet,Glutamate racemase,7.67
189,Alatrofloxacin,Flavodoxin,7.67
190,Antroquinonol,Prolyl endopeptidase Pep,7.67
191,"6,11-DIHYDRO-11-ETHYL-6-METHYL-9-NITRO-5H-PYRIDO[2,3-B][1,5]BENZODIAZEPIN-5-ONE",Heat shock protein HSP 90-beta,7.67
192,"(1r)-4-[(1e,3e,5e,7z,9e,11z,13e,15e)-17-Hydroxy-3,7,12,16-Tetramethylheptadeca-1,3,5,7,9,11,13,15-Octaen-1-Yl]-3,5,5-Trimethylcyclohex-3-En-1-Ol",Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,7.67
193,"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",Inward rectifier potassium channel 4,7.67
194,"2,3,4,5,6-Pentafluorobenzyl Alcohol",Gamma-aminobutyric acid receptor subunit rho-1,7.67
195,"(2S)-4-(2,5-DIFLUOROPHENYL)-N-METHYL-2-PHENYL-N-PIPERIDIN-4-YL-2,5-DIHYDRO-1H-PYRROLE-1-CARBOXAMIDE",Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,7.67
196,2-Cyclopropylmethylenepropanal,Prostacyclin synthase,7.66
197,Cabergoline,Type I polyketide synthase PikAIV,7.66
198,Cryptoxanthin,MAP kinase-interacting serine/threonine-protein kinase 1,7.66
199,"1-[3,3-Dimethyl-2-(2-Methylamino-Propionylamino)-Butyryl]-Pyrrolidine-2-Carboxylic Acid(1,2,3,4-Tetrahydro-Naphthalen-1-Yl)-Amide",Retinoic acid receptor RXR-beta,7.66
200,Ambazone,CAD protein,7.65
201,Calcium carbonate,Phenylalanine--tRNA ligase beta subunit,7.65
202,12-Phenylheme,Gamma-aminobutyric acid receptor subunit alpha-1,7.65
203,19-Nor-5-androstenedione,D(1B) dopamine receptor,7.65
204,18-methyl-19-nortestosterone,Inhibitor of nuclear factor kappa-B kinase subunit beta,7.65
205,CRA-9334,Mitogen-activated protein kinase kinase kinase kinase 3,7.65
206,Chlorophyll B,DNA polymerase,7.65
207,CRA_9076,Mitogen-activated protein kinase kinase kinase 6,7.64
208,Calcitriol,D-alanine--D-alanine ligase,7.64
209,Almasilate,Fatty acid metabolism regulator protein,7.64
210,Aranidipine,Beta-lactamase SHV-1,7.64
211,CRA_1144,Dual specificity mitogen-activated protein kinase kinase 6,7.64
212,"1,2,4-Triazole-Carboxamidine",Neuronal acetylcholine receptor subunit beta-2,7.63
213,ALK-4290,NAD(P)H dehydrogenase (quinone),7.63
214,Acetylleucine,S-adenosylmethionine synthase,7.63
215,Cupric glycinate,NUAK family SNF1-like kinase 1,7.63
216,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",Apolipoprotein B receptor,7.63
217,Chlorproguanil,TGF-beta receptor type-2,7.63
218,(R)-4-Nitrostyrene oxide,Alcohol dehydrogenase 1A,7.63
219,Calcium acetate,Prolyl tripeptidyl peptidase,7.63
220,"(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",L-serine dehydratase/L-threonine deaminase,7.63
221,(R)-acetoin,Sorbitol dehydrogenase,7.63
222,Astaxanthin,Cytochrome b-c1 complex subunit 7,7.63
223,"(7R,8R)-8-(2,4,5-trifluorophenyl)-6,7,8,9-tetrahydroimidazo[1,2-a:4,5-c']dipyridin-7-amine",Glycine N-acyltransferase-like protein 2,7.62
224,4-Deoxyglucarate,DNA gyrase subunit B,7.62
225,"3,9-Dimethyladenine",Protein S100-A8,7.62
226,4-Methylidene-5-One,Spermidine/spermine N(1)-acetyltransferase,7.62
227,Avasopasem manganese,Response regulator RamR,7.62
228,"(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",Complement C1r subcomponent,7.62
229,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",Coagulation factor VII,7.62
230,(R)-N-methyl-N-2-propynyl-1-indanamine,L-lactate dehydrogenase A chain,7.62
231,Aviptadil,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",7.62
232,4-Iodobenzo[B]Thiophene-2-Carboxamidine,Indole-3-pyruvate decarboxylase,7.62
233,"(1S,7S,8S,8AR)-1,2,3,7,8,8A-HEXAHYDRO-7-METHYL-8-[2-[(2R,4R)-TETRAHYDRO-4-HY DROXY-6-OXO-2H-PYRAN-2-YL]ETHYL]-1-NAPHTHALENOL",Glucagon receptor,7.61
234,"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",Serine--pyruvate aminotransferase,7.61
235,Cefpirome,Interphotoreceptor matrix proteoglycan 2,7.61
236,[(1S)-4-[[Amino-[(2R)-2-amino-2-carboxyethyl]sulfanylmethylidene]amino]-1-carboxybutyl]azanium,NADH-ubiquinone oxidoreductase chain 6,7.61
237,Camicinal,Kallikrein-7,7.61
238,"5-[(4-AMINOCYCLOHEXYL)AMINO]-7-(PROPAN-2-YLAMINO)PYRAZOLO[1,5-A]PYRIMIDINE-3-CARBONITRILE",Beta-lactamase,7.61
239,Deacetoxycephalosporin C,NAD-dependent protein deacetylase sirtuin-2,7.61
240,"3,20-Pregnanedione",Thiopurine S-methyltransferase,7.61
241,Alcuronium,Flavodoxin,7.61
242,"(E)-(4S,6S)-6-((S)-2-{(S)-2-[(FURAN-2-CARBONYL)-AMINO]-3-METHYL-BUTYRYLAMINO}-3-METHYL-BUTYRYLAMINO)-8-METHYL-5-OXO-4-((R)-2-OXO-PYRROLIDIN-3-YLMETHYL)-NON-2-ENOIC ACID ETHYL ESTER","Tryptophan--tRNA ligase, cytoplasmic",7.60
243,Boceprevir,Calpain-3,7.60
244,Anisotropine methylbromide,HTH-type transcriptional regulator QacR,7.60
245,"2,4-Dinitrophenyl 2-Deoxy-2-Fluoro-Beta-D-Allopyranoside",Tissue-type plasminogen activator,7.60
246,Clindamycin,Importin subunit alpha,7.60
247,"4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}aniline",C-terminal-binding protein 1,7.60
248,"5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE",Glycosyl transferase,7.60
249,CRA_10433,Serine/threonine-protein kinase SIK3,7.59
250,Davunetide,Gastric inhibitory polypeptide,7.59
251,BMS-564929,Phosphodiesterase isozyme 4,7.59
252,"1alpha,24S-Dihydroxyvitamin D2",Alpha-2A adrenergic receptor,7.59
253,Cholesteryl Linoleate,Calsequestrin-1,7.59
254,CRA_10656,LIM domain kinase 2,7.59
255,Cerium oxalate,N-acylethanolamine-hydrolyzing acid amidase,7.59
256,Azidocillin,Peptide deformylase,7.59
257,Adagrasib,Cholesterol oxidase,7.59
258,"(1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",Fibroblast growth factor receptor 2,7.59
259,5-Amino-6-cyclohexyl-4-hydroxy-2-isobutyl-hexanoic acid,Neopullulanase 2,7.58
260,Cholesteryl chloride,Calcium and integrin-binding family member 2,7.58
261,CRA_17693,Mitogen-activated protein kinase kinase kinase 12,7.58
262,"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",Adrenocorticotropic hormone receptor,7.58
263,Ceftobiprole medocaril,RNA polymerase sigma factor SigA,7.58
264,"2,3-Dimethyl-1,4-naphthoquinone",Cysteinyl leukotriene receptor 1,7.58
265,Birinapant,Tubulin beta-2B chain,7.57
266,BA-2664,Eukaryotic translation initiation factor 2 subunit 3,7.57
267,5-Amino 6-Nitro Uracil,L-asparaginase,7.57
268,4-Piperidino-Piperidine,Aminotransferase,7.57
269,"CYCLOHEXYLMETHYL-2,3-DIHYDROXY-5-METHYL-HEXYLAMIDE",Serine/threonine-protein kinase 10,7.57
270,Aplyronine A,Tyrosine phenol-lyase,7.57
271,4-[[(2S)-2-[[(2S)-3-Carboxy-2-hydroxypropanoyl]amino]-4-methylpentanoyl]amino]butyl-(diaminomethylidene)azanium,Poly(A) polymerase alpha,7.57
272,Ammonia N-13,Ribose 5-phosphate isomerase B,7.56
273,Afimetoran,H subunit of photosynthetic reaction center complex,7.56
274,Clostebol,60S ribosomal protein L21,7.56
275,"(4R)-limonene 1Î±,2Î±-epoxide",Excitatory amino acid transporter 2,7.56
276,"[(2R)-1-[(2S)-2-[[(2S,3S)-1-Chloro-6-(diaminomethylideneamino)-2-hydroxyhexan-3-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-3-phenylpropan-2-yl]azanium",NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,7.56
277,4-isothioureidobutyronitrile,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,7.56
278,Cholecalciferol,Peflin,7.56
279,Beclabuvir,Chaperone protein ClpB,7.56
280,Capreomycin,30S ribosomal protein S2,7.55
281,2-(1-Hexyloxyethyl)-2-devinyl pyropheophorbide-a,High affinity nerve growth factor receptor,7.55
282,"(9S)-9-[(8-AMMONIOOCTYL)AMINO]-1,2,3,4,9,10-HEXAHYDROACRIDINIUM","Creatine kinase U-type, mitochondrial",7.55
283,alpha-Methylleucine,Guanine deaminase,7.55
284,Aluminium glycinate,"Inositol 1,4,5-trisphosphate receptor type 1",7.55
285,"({[(3E)-2'-Oxo-2',7'-dihydro-2,3'-biindol-3(7H)-ylidene]amino}oxy)acetic acid",Low affinity immunoglobulin gamma Fc region receptor III-B,7.55
286,Banoxantrone,Isocitrate lyase,7.55
287,"2-Amino-4-(4-Amino-Cyclohexa-2,5-Dienyl)-Butyric Acid","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",7.55
288,2-chloroethyl-3-sarcosinamide-1-nitrosourea,"Acetyl-CoA acetyltransferase, mitochondrial",7.55
289,Cerivastatin,Corticotropin-releasing factor receptor 1,7.54
290,1-[(2R)-2-aminobutanoyl]-N-(4-carbamimidoylbenzyl)-L-prolinamide,Serine-protein kinase ATM,7.54
291,Dalfopristin,Metal regulatory transcription factor 1,7.54
292,(2S)-N-[(3E)-5-Cyclopropyl-3H-pyrazol-3-ylidene]-2-[4-(2-oxo-1-imidazolidinyl)phenyl]propanamide,Monocarboxylate transporter 7,7.54
